City,Census URL,County,State,Type,"American Indian- and Alaska Native-owned firms, percent, 2007  ","Persons per household, 2008-2012  ","Foreign born persons, percent, 2008-2012  ","Persons under 18 years, percent, 2010  ","Black or African American alone, percent, 2010 (a)  ","Median value of owner-occupied housing units, 2008-2012  ","Native Hawaiian and Other Pacific Islander-owned firms, percent, 2007  ","Housing units in multi-unit structures, percent, 2008-2012  ","Households, 2008-2012  ","White alone, percent, 2010 (a)  ","Veterans, 2008-2012  ","High school graduate or higher, percent of persons age 25+, 2008-2012  ","Hispanic-owned firms, percent, 2007  ","Population, 2010  ",FIPS Code  ,"Total number of firms, 2007  ","Persons below poverty level, percent, 2008-2012  ","Persons under 5 years, percent, 2010  ","Two or More Races, percent, 2010  ","Persons 65 years and over, percent,  2010  ","Manufacturers shipments, 2007 ($1000)  ","Population, percent change, April 1, 2010 to July 1, 2012  ","Persons per square mile, 2010  ","Merchant wholesaler sales, 2007 ($1000)  ","Women-owned firms, percent, 2007  ","Asian-owned firms, percent, 2007  ","Homeownership rate, 2008-2012  ","Retail sales, 2007 ($1000)  ","Native Hawaiian and Other Pacific Islander alone, percent, 2010 (a)  ","Black-owned firms, percent, 2007  ","Living in same house 1 year & over, percent, 2008-2012  ","Housing units, 2010  ","Population, percent change, April 1, 2010 to July 1, 2013  ","Hispanic or Latino, percent, 2010 (b)  ","Retail sales per capita, 2007  ","American Indian and Alaska Native alone, percent, 2010 (a)  ","Language other than English spoken at home, pct age 5+, 2008-2012  ","Population, 2012 estimate  ","Population, 2013 estimate  ","Per capita money income in past 12 months (2012 dollars), 2008-2012  ","Asian alone, percent, 2010 (a)  ","Bachelor's degree or higher, percent of persons age 25+, 2008-2012  ","Mean travel time to work (minutes), workers age 16+, 2008-2012  ","White alone, not Hispanic or Latino, percent, 2010  ","Median household income, 2008-2012  ","Female persons, percent, 2010  ","Population, 2010 (April 1) estimates base  ","Accommodation and food services sales, 2007 ($1000)  ","Land area in square miles, 2010  "
Reston ,http://quickfacts.census.gov/qfd/states/51/5166672.html,Fairfax County,Virginia,CDP,F,2.28,25.5,20.9,9.7,434800,S,43.6,25474,70.1,4094,94.3,4.9,58404,66672,6840,8.2,7.1,4.1,11.3,0,X,3809.8,3155797,33.4,10.7,63.2,574491,Z,5.6,83.5,26787,X,12.8,NA,0.3,28.9,X,X,57289,10.9,65.5,29.2,63.3,105775,51.7,X,214293,15.33
Brown Deer ,http://quickfacts.census.gov/qfd/states/55/5510375.html,Milwaukee County,Wisconsin,village,F,2.23,8.3,20.9,28.6,166700,F,37.6,5320,61.9,788,93.9,F,11999,10375,936,9.1,5.5,3.1,16.6,D,0.7,2729.5,131772,S,S,64,125675,0.1,13.9,88.8,5579,0.9,3.9,10555,0.4,11.6,12079,12102,29101,4.9,39,21.9,59.8,54362,52,12000,23917,4.4
Sandy Springs ,http://quickfacts.census.gov/qfd/states/13/1368516.html,Fulton County,Georgia,city,S,2.28,19.4,21.2,20,426800,F,55.1,41350,65,4963,93.2,4.1,93853,68516,13341,10.8,6.8,2.7,10.8,0,5.9,2493.4,6167947,29.4,3.9,48.3,1176884,Z,9.8,75.7,46955,6.3,14.2,14174,0.3,24.3,99362,99770,51270,5,58.3,24.2,58.7,65353,51.8,93853,250159,37.64
Carthage ,http://quickfacts.census.gov/qfd/states/29/2911656.html,Jasper County,Missouri,city,F,2.77,16.6,28.8,1.5,87900,F,22.3,4968,73.6,865,66.8,8.8,14378,11656,1053,31.9,9.8,3.4,13.9,1218449,-1.7,1234.2,D,S,F,57,241565,0.6,F,82.1,5753,-1,25.6,17711,1,27.5,14133,14232,16199,1,14.6,14.7,68.9,31285,51.1,14378,22942,11.65
Lawndale ,http://quickfacts.census.gov/qfd/states/06/0640886.html,Los Angeles County,California,city,F,3.37,38.2,27.2,10.1,374900,F,29.7,9688,43.6,912,71.7,S,32769,40886,2667,16.7,7.5,5.7,6.9,0,1,16600.3,43219,30.4,S,32.3,253487,1.1,S,88.3,10151,1.4,61,8150,0.9,64.3,33097,33230,18056,10,16.3,25.5,16.2,48727,49.7,32769,34442,1.97
Lynden ,http://quickfacts.census.gov/qfd/states/53/5340805.html,Whatcom County,Washington,city,S,2.6,12.5,26.4,0.7,284400,F,27.7,4618,89.7,863,89.3,S,11951,40805,1299,7.9,7.4,2.1,19.6,161834,5.2,2311.6,152323,13.9,F,68.1,199289,0.2,F,88.9,4812,7.5,8.7,17164,0.9,11.4,12628,12902,24114,2.5,25.1,20.7,85.9,54129,53.2,12002,47163,5.17
Annapolis ,http://quickfacts.census.gov/qfd/states/24/2401600.html,Anne Arundel County,Maryland,city,F,2.26,15.7,20.8,26,390700,F,40.2,16645,60.1,3401,87.2,S,38394,1600,5160,10.9,7.5,2.6,13,127570,0.5,5344.4,812513,27.9,S,54,973610,Z,S,83.3,17845,1.2,16.8,26506,0.3,17.5,38482,38722,43153,2.1,44.5,26.7,53.5,70689,52.2,38274,230356,7.18
Orting ,http://quickfacts.census.gov/qfd/states/53/5352005.html,Pierce County,Washington,city,F,3,4.9,30.7,1.5,217300,F,2.7,2179,87.9,529,92.8,S,6746,52005,440,8.1,8.8,5,10.2,0,1.9,2472.9,D,S,F,82.4,36272,0.5,F,87.2,2361,4.1,7.2,6188,1.4,9.8,6875,7023,26387,1.3,16.2,38.6,84.4,71553,49.3,6746,8423,2.73
Winston-Salem ,http://quickfacts.census.gov/qfd/states/37/3775000.html,Forsyth County,North Carolina,city,0.7,2.43,11.1,24.6,34.7,141500,F,31.6,90752,51.2,15209,85.5,3.7,229617,75000,18081,22,7.3,2.4,12.5,9391075,2,1733.6,2841741,27.8,2.5,57.2,3886045,0.1,17.1,82.5,103974,3,14.7,17385,0.4,17.2,234322,236441,24569,2,32,19.1,47.1,40869,53,229634,508130,132.45
Clarkston ,http://quickfacts.census.gov/qfd/states/13/1316544.html,DeKalb County,Georgia,city,S,3.03,45.6,28.8,58.4,113900,S,62.7,2510,13.6,235,70.2,S,7554,16544,S,37.6,9.7,4.1,4,0,2.4,6955.8,D,S,S,26.7,12970,Z,S,68.4,2883,3.1,2.8,1659,0.2,48.3,7742,7791,14713,21.6,16.8,32,13.1,32710,50.7,7558,D,1.09
Crossett ,http://quickfacts.census.gov/qfd/states/05/0516240.html,Ashley County,Arkansas,city,F,2.39,0.7,24.4,42.2,74400,F,16,2255,54.9,376,85,F,5507,16240,707,15.8,6.6,1.1,18.9,D,-1.4,922.4,D,S,F,65.2,125888,0,S,82.3,2608,-2.5,2.2,22951,0.1,1.5,5430,5371,19095,0.5,18.6,16.2,54.2,33797,54.4,5507,12752,5.97
Sumner ,http://quickfacts.census.gov/qfd/states/53/5368435.html,Pierce County,Washington,city,S,2.53,7.1,24.4,1.2,260900,F,35.2,3728,87.3,1041,91,F,9451,68435,979,12.2,6.7,4.3,14.9,333372,1,1258.8,433178,S,F,50.1,554340,0.4,F,75.6,4279,1.5,10.1,58217,1,8.3,9546,9589,25600,2.4,16.7,28.6,81.8,51692,51.8,9451,17576,7.51
Monticello ,http://quickfacts.census.gov/qfd/states/18/1850760.html,White County,Indiana,city,F,2.43,4.9,24,0.4,98400,F,25.2,2081,90.8,579,84.3,F,5378,50760,766,12.9,6,2.1,21.1,327345,-0.4,1549.9,37611,S,F,67.5,207755,Z,F,81.8,2457,-0.3,12.5,39318,0.4,9.2,5354,5362,19319,0.8,18,20.9,85.2,39063,52.7,5378,15504,3.47
College Park ,http://quickfacts.census.gov/qfd/states/24/2418750.html,Prince George's County,Maryland,city,F,2.84,19.5,7.6,14.3,304900,F,36.9,6571,63,888,88.6,12.5,30413,18750,1898,29.3,2.4,3.5,5.1,D,2.2,5396.2,15346,29.2,S,48,543630,0.1,S,62.8,8212,2.8,11.9,19968,0.3,26.5,31087,31274,17793,12.7,49,26.4,58.2,60402,46.9,30413,103397,5.64
Harahan ,http://quickfacts.census.gov/qfd/states/22/2232930.html,Jefferson Parish,Louisiana,city,F,2.38,1.9,19,2.2,224500,F,14.5,3826,94.4,911,88.8,F,9277,32930,1011,9.6,5,0.9,19.3,0,0.3,4613.1,158409,20.1,F,74.4,81195,Z,F,84.3,4145,0.4,4.4,8617,0.5,4.2,9305,9311,31976,1,25.4,22.3,91.3,62143,52.8,9277,12413,2.01
Anthony ,http://quickfacts.census.gov/qfd/states/35/3503820.html,Do?a Ana County,New Mexico,city,X,3.43,37.9,NA,NA,83800,X,15.7,2508,NA,206,51.5,X,X,3820,X,41.3,NA,NA,NA,NA,Z,NA,NA,X,X,64.1,NA,NA,X,88.4,0,-1.4,NA,NA,NA,90.8,9510,9378,9979,NA,2.8,21.5,NA,22813,NA,9509,NA,NA
Pomona ,http://quickfacts.census.gov/qfd/states/34/3460030.html,Atlantic County,New Jersey,CDP,F,3.37,25.9,26.6,10.6,255000,F,13.4,1887,58,273,82.4,F,7124,60030,F,7.9,6.6,3.6,14.3,0,X,2547,0,F,F,87.9,0,0,F,95.1,2202,X,13.2,NA,0.4,38.9,X,X,23788,22.1,31.3,22,51.5,73924,53.6,X,0,2.8
St. Marys ,http://quickfacts.census.gov/qfd/states/13/1367984.html,Camden County,Georgia,city,F,2.77,2.1,28,18.7,174600,F,20,6108,74.2,2174,92.3,S,17121,67984,1315,16.2,8.2,3.5,10,0,3,760.7,D,37.5,S,57.3,256712,0.1,S,75.4,7443,3.7,6,15375,0.5,4.9,17642,17755,23528,1.4,22.3,19.6,70.8,56702,50.8,17126,23375,22.51
Kulpsville ,http://quickfacts.census.gov/qfd/states/42/4240608.html,Montgomery County,Pennsylvania,CDP,F,2.42,9.8,21.7,4.6,249100,F,14.7,3203,84.9,558,95.4,F,8194,40608,F,2.9,5.5,1.8,19.2,0,X,2400.1,0,F,F,79.4,0,0,F,89.2,3525,X,2.3,NA,0.1,10.4,X,X,38269,8,44.7,30.5,83.2,74710,54.4,X,0,3.41
Egypt Lake-Leto ,http://quickfacts.census.gov/qfd/states/12/1220108.html,Hillsborough County,Florida,CDP,F,2.72,36.7,22.2,10.8,128000,F,51,13638,75.3,1470,80.6,S,35282,20108,3713,21.1,6.9,3.4,11.2,0,X,5973.9,359229,S,S,44.6,540345,Z,S,75.3,15487,X,60,NA,0.3,62,X,X,18196,3.7,16.1,21.9,26.7,38189,51.5,X,22810,5.91
French Valley ,http://quickfacts.census.gov/qfd/states/06/0626067.html,Riverside County,California,CDP,F,3.54,14.3,33.7,7.9,281100,F,5.1,6294,64.3,1831,89.6,F,23067,26067,F,3.2,9.2,6.5,5.2,0,X,2122.7,0,F,F,80.3,0,0.6,F,78.9,6635,X,27.4,NA,1,26.3,X,X,25730,11.6,24.4,42.9,48.7,85875,48.1,X,0,10.87
Belmar ,http://quickfacts.census.gov/qfd/states/34/3404930.html,Monmouth County,New Jersey,borough,F,2.19,23.1,16.8,3.5,486900,F,43.9,2635,87.1,329,90.9,F,5794,4930,595,11.4,4.9,2.5,14.8,0,-0.7,5544.5,D,S,F,44.7,129716,0.1,F,76.7,3931,-1,16.8,21930,0.2,28,5752,5736,36293,0.9,36.6,25.2,78,60280,48.5,5794,26208,1.05
Cherry Creek ,http://quickfacts.census.gov/qfd/states/08/0813590.html,Arapahoe County,Colorado,CDP,F,2.64,14.9,27.3,1.8,415400,F,35.1,4265,83,526,97.7,F,11120,13590,F,5,5.3,2.5,8.8,0,X,6638.8,0,F,F,71.9,0,Z,F,86.1,4387,X,7.6,NA,0.3,17.7,X,X,46759,9.6,67,22.8,78.8,97330,50.9,X,0,1.68
Columbia ,http://quickfacts.census.gov/qfd/states/17/1715833.html,Monroe County,Illinois,city,F,2.49,0.5,25,0.4,198400,F,16.3,3852,97.4,941,94.3,F,9707,15833,1017,4.1,6.3,0.9,14.3,0,2.1,932.3,D,20.9,F,80.1,197727,0,F,86.1,3977,3.2,2,21387,0.1,3.5,9894,9999,32462,0.7,32.6,26.3,96.2,62234,51.4,9691,14889,10.41
Keizer ,http://quickfacts.census.gov/qfd/states/41/4138500.html,Marion County,Oregon,city,F,2.63,8.9,27.3,0.8,213000,F,27.2,13740,82.5,3473,87.5,7,36478,38500,2427,14.4,7.1,4.1,13.3,0,1.1,5145.7,34282,32.3,S,60.2,198368,0.6,F,81.3,14445,1.6,18.3,5668,1.3,17.2,36878,37064,24521,1.6,23.9,21.5,75.1,51708,52,36476,41967,7.09
Omaha ,http://quickfacts.census.gov/qfd/states/31/3137000.html,Douglas County,Nebraska,city,0.4,2.45,9.5,25.1,13.7,132900,F,31.2,164248,73.1,28660,88.1,2.4,408958,37000,34344,16.4,7.5,3,11.4,8853876,2.8,3217.9,5606004,26.6,1.7,58.8,7495144,0.1,5.1,80.5,177518,4.2,13.1,16940,0.8,14.8,428850,434353,26880,2.4,32.5,18,68,46978,50.8,416969,1041517,127.09
Bargersville ,http://quickfacts.census.gov/qfd/states/18/1803394.html,Johnson County,Indiana,town,F,2.68,2,29.2,1.1,157200,F,13.6,1951,95.6,413,92.5,F,4013,3394,F,11.2,9.1,1.6,7.7,0,6.4,814.7,0,F,F,85.2,0,0,F,84.9,1692,9.5,2.1,NA,0.3,3.7,6226,6409,31253,1,26.4,30,94.1,63292,48.8,5854,0,4.92
Campton Hills ,http://quickfacts.census.gov/qfd/states/17/1710906.html,Kane County,Illinois,village,F,3.18,5.1,30.1,0.5,445700,F,0.9,3454,95.4,559,98.1,F,11131,10906,F,3.7,4.2,1.2,8.3,0,1.3,658.3,0,F,F,94.2,0,0.1,F,94.6,3608,1.8,3.6,NA,0.2,7.7,11256,11305,47398,1.8,55.1,35.1,92.9,128633,49.3,11107,0,16.91
Zion ,http://quickfacts.census.gov/qfd/states/17/1784220.html,Lake County,Illinois,city,S,2.96,12.1,31.3,31,157500,F,32.3,8092,48.9,2100,82.7,15.5,24413,84220,1512,15.1,8,5,8.7,0,-0.4,2489.1,71223,S,S,56.6,116720,0.1,23.4,84.6,9062,-0.3,27.7,4702,0.4,20.9,24322,24339,20512,2.3,14.2,28.1,36,50807,52.2,24409,20534,9.81
Schlusser ,http://quickfacts.census.gov/qfd/states/42/4268188.html,Cumberland County,Pennsylvania,CDP,F,2.42,5.6,22.2,3.8,149400,F,18.8,2072,91,697,88.6,F,5265,68188,F,5.5,6.1,2.1,14.6,0,X,1804.3,0,F,F,77.1,0,Z,F,87.4,2265,X,2.5,NA,0.2,6.6,X,X,29983,1.9,16.2,22.1,89.6,61657,51,X,0,2.92
Manasquan ,http://quickfacts.census.gov/qfd/states/34/3443050.html,Monmouth County,New Jersey,borough,F,2.41,2.2,23.3,0.3,637900,F,16.8,2453,96.1,518,95.4,F,5897,43050,556,2.5,4.7,1.1,16.3,0,-0.4,4263.9,D,S,F,74.6,62015,Z,F,89.4,3500,-2.4,7,9945,Z,5.9,5872,5757,56037,0.6,47.3,31.9,91.7,85781,51.2,5897,20968,1.38
Green Bay ,http://quickfacts.census.gov/qfd/states/55/5531000.html,Brown County,Wisconsin,city,0.9,2.37,7.9,24.7,3.5,130900,F,36.3,42649,77.9,7588,86,2.8,104057,31000,6836,16.9,7.7,3.1,11.3,5193400,0.8,2288.6,1327712,26,0.8,58.5,1474627,0.1,1.5,83.7,45241,0.8,13.4,14628,4.1,15.2,104769,104779,23765,4,21.3,18.2,73.3,42584,50.6,103913,203680,45.47
Pevely ,http://quickfacts.census.gov/qfd/states/29/2957278.html,Jefferson County,Missouri,city,F,2.36,1.5,28.6,1,112900,F,20.7,2303,96.2,363,78.9,F,5484,57278,F,22.1,10.4,2,8.8,0,1,1206.9,0,F,F,68.9,0,Z,F,86.2,2318,1.6,1.2,NA,0.3,3.9,5538,5570,22582,0.3,16.3,31.2,95.2,39304,51.8,5484,0,4.54
West Falls Church ,http://quickfacts.census.gov/qfd/states/51/5184368.html,Fairfax County,Virginia,CDP,F,2.77,39.6,22,4.8,423000,F,27.4,10032,55.3,1254,83.2,F,29207,84368,F,6.6,7.8,4.3,9.4,0,X,5847.2,0,F,F,66.7,0,Z,F,87.3,10586,X,33.1,NA,0.5,50.5,X,X,40683,19,43.6,29.6,40.8,86725,49.7,X,0,5
Suwanee ,http://quickfacts.census.gov/qfd/states/13/1374936.html,Gwinnett County,Georgia,city,S,2.97,20.5,27.9,10.8,246100,F,20.4,5171,67.4,621,94.1,3.1,15355,74936,4281,7.3,6.3,2.3,6.6,330232,5.7,1410.9,1706151,25.8,21.6,72.4,367223,0.1,S,87.2,5919,15.2,6.7,23334,0.1,30.2,16229,17688,34945,18,53.2,31.8,62.8,85401,51.5,15355,77437,10.88
Clifton Heights ,http://quickfacts.census.gov/qfd/states/42/4214264.html,Delaware County,Pennsylvania,borough,F,2.59,15.9,23.5,11.4,139100,F,31.5,2565,82.3,273,87.1,S,6652,14264,706,14.6,6.8,2.4,11.1,0,Z,10558.7,49394,S,F,60.2,111631,0,S,88.9,2849,0.2,2.2,16978,0.2,15.1,6655,6663,20849,3.3,15.8,30,81.2,45638,50.9,6652,11859,0.63
Austintown ,http://quickfacts.census.gov/qfd/states/39/3903184.html,Mahoning County,Ohio,CDP,F,2.23,1.7,20,6.9,94100,F,24.1,13169,89.9,3442,90.1,1.9,29677,3184,2104,11.5,5.1,1.8,18.8,191718,X,2551.8,311616,24.7,S,68.6,577179,Z,3.8,88.6,14480,X,2.7,NA,0.2,3.4,X,X,23350,0.6,18.6,20.4,88.4,43009,52.5,X,53910,11.63
Carmi ,http://quickfacts.census.gov/qfd/states/17/1711293.html,White County,Illinois,city,F,2.23,1.6,20.6,0.6,65600,F,13.3,2295,97.4,492,82.6,F,5240,11293,498,19.2,6.5,1,24,0,-0.4,2099.4,49274,15.5,F,72.8,103806,0.1,F,81,2539,-0.6,1.8,19990,0.3,1.9,5218,5208,20760,0.3,11.6,24.3,96.6,35446,53.4,5240,8506,2.5
Cheney ,http://quickfacts.census.gov/qfd/states/53/5311825.html,Spokane County,Washington,city,F,2.42,5.2,14.7,4,179000,F,48.9,3658,81.7,660,94.4,F,10590,11825,426,38.8,4.6,4.7,6.7,0,4.1,2481.8,D,S,F,34.9,55681,0.4,F,57.2,4183,6.2,9.3,5349,1.3,9,11029,11251,15819,4,45.6,19.8,77.4,28478,51.2,10590,11028,4.27
River Falls ,http://quickfacts.census.gov/qfd/states/55/5568275.html,Pierce County,Wisconsin,city,F,2.4,1.7,17.2,1.2,180800,F,31.9,5211,94.8,810,95.2,F,15000,68275,1106,22.2,5.4,1.6,8.2,87865,0.7,2300.3,D,29.5,S,56,118389,Z,F,63.8,5449,1.4,1.8,8352,0.4,4.3,15104,15209,22156,1.5,41.9,25.2,93.7,48183,53.2,15003,22740,6.52
Bristol ,http://quickfacts.census.gov/qfd/states/51/5109816.html,Bristol city,Virginia,city,F,2.22,1.3,20.8,5.7,102800,F,28.5,7757,90.9,1602,79.6,F,17835,9816,1304,22.4,6.2,1.9,19,659762,-0.5,1370.6,318843,26.7,S,58.6,343502,Z,F,81.3,8831,-2.8,1.2,19709,0.3,3.2,17747,17341,18999,0.7,19.2,17.4,90.3,30636,53,17835,76579,13.01
Ojai ,http://quickfacts.census.gov/qfd/states/06/0653476.html,Ventura County,California,city,S,2.32,9.7,20.4,0.6,615300,F,24.1,3145,87.9,625,92.8,S,7461,53476,1764,10.4,4.6,2.9,19.2,0,1.1,1701.1,26566,37.4,F,57.3,108018,Z,F,86.5,3382,1.6,17.9,13983,0.6,13.5,7542,7581,38037,2.1,44.3,25.4,77.1,62804,54.1,7461,73461,4.39
LaFayette ,http://quickfacts.census.gov/qfd/states/13/1344312.html,Walker County,Georgia,city,F,2.33,0.6,24.1,7.5,84400,F,19.8,2881,88.6,668,74.9,F,7121,44312,892,26.6,7,1.9,16.6,1330151,-0.4,871.6,23636,S,S,56.1,154431,0.1,F,73.9,3258,-0.6,2.1,20838,0.4,1.4,7092,7073,16417,0.9,9,21.2,87.4,28502,53.6,7117,14124,8.17
Sharon ,http://quickfacts.census.gov/qfd/states/25/2560820.html,Norfolk County,Massachusetts,CDP,F,2.89,12.1,28,3.2,374500,F,12.8,2026,87.5,308,98.3,F,5658,60820,F,4.2,5.7,1.7,11.9,0,X,1891,0,F,F,87.5,0,0,F,92.9,2145,X,1.9,NA,0.1,15,X,X,45752,6.9,68.7,34.8,86.1,123942,51.8,X,0,2.99
Mount Dora ,http://quickfacts.census.gov/qfd/states/12/1247050.html,Lake County,Florida,city,F,2.34,8.8,18.6,15.6,204100,F,28.3,5209,77.5,1394,87.8,4.9,12370,47050,1907,16.2,5.6,1.8,26.8,0,4.3,1542,10987,26.3,S,55.6,445757,0.1,3.3,81.3,6942,6,11.7,35678,0.4,13.8,12680,12895,26432,1.8,24.9,27.1,69.5,46112,53.9,12163,38109,8.02
North Palm Beach ,http://quickfacts.census.gov/qfd/states/12/1249600.html,Palm Beach County,Florida,village,F,1.98,7.9,14,2.7,249700,F,62.5,6095,93.3,1738,94.9,S,12015,49600,1908,7,3.3,1.3,29.3,0,2.1,3347.7,22801,45.5,F,76.1,75478,Z,S,90.6,7710,2.8,6.9,6188,0.1,10.1,12270,12348,45524,1.7,39.8,20.4,87.8,60738,51.1,12013,15186,3.59
Whitehall ,http://quickfacts.census.gov/qfd/states/42/4284512.html,Allegheny County,Pennsylvania,borough,S,2.21,8.8,18.4,3.7,135800,S,19.6,6152,91.1,1483,91.9,S,13944,84512,S,7.8,4.9,1.1,23.8,0,0.1,4193.7,33417,S,S,73.2,40075,Z,S,88.8,6642,Z,0.9,2972,0.1,10,13951,13945,29354,3.8,32.7,30.6,90.4,52458,52.9,13944,1124,3.33
Woodlyn ,http://quickfacts.census.gov/qfd/states/42/4286288.html,Delaware County,Pennsylvania,CDP,F,2.45,3.5,22.3,10.6,193300,F,24.6,3824,85.5,594,90.5,F,9485,86288,F,14.8,6.1,1.9,14.7,0,X,5666.1,0,F,F,70.6,0,0,F,96.5,4060,X,2.3,NA,0.2,5.6,X,X,26996,1.3,18,22.4,84.2,52636,52.1,X,0,1.67
Tenafly ,http://quickfacts.census.gov/qfd/states/34/3472420.html,Bergen County,New Jersey,borough,F,2.97,31.3,31.2,0.9,732600,F,20.6,4829,69.3,509,96.2,S,14488,72420,2089,4.6,5,2.3,13.5,0,1.2,3148.9,176321,S,S,71.1,300803,0,F,88.4,4980,1.5,5.4,21270,Z,40.4,14660,14704,67740,26.2,73.3,36.7,65.4,119399,51.7,14488,27237,4.6
Morton ,http://quickfacts.census.gov/qfd/states/17/1750621.html,Tazewell County,Illinois,village,F,2.45,1.9,23.6,0.7,175000,F,16.3,6464,96.3,1390,94.7,F,16267,50621,1500,5.3,6.7,1,19,D,0.9,1255.8,114592,31.2,F,76.5,288625,Z,F,90.3,6973,1.5,1.7,18013,0.2,2.6,16425,16525,34823,1.3,43.9,18.7,95.2,70510,51.9,16273,32380,12.95
Waunakee ,http://quickfacts.census.gov/qfd/states/55/5584350.html,Dane County,Wisconsin,village,F,2.67,3.7,31.6,1,310100,F,21.6,4503,95.8,794,96.7,F,12097,84350,1163,4.1,6.7,1.3,9.9,357826,4.6,1895.8,215347,19.6,F,76,83585,Z,F,90.4,4483,6.1,2.2,7572,0.2,6.2,12665,12840,38260,1.2,46.4,21.1,94.3,84614,51.2,12106,11004,6.38
Jersey City ,http://quickfacts.census.gov/qfd/states/34/3436000.html,Hudson County,New Jersey,city,S,2.57,38.6,21.1,25.8,340400,S,83.8,95453,32.7,6327,84.5,17,247597,36000,20193,17.6,7.1,4.4,9,745255,3.1,16736.3,3264525,28.7,21.6,30.4,2210063,0.1,16,84,108720,3.9,27.6,9259,0.5,52.5,255325,257342,32289,23.7,41.5,35,21.5,58308,50.6,247643,324779,14.79
Syracuse ,http://quickfacts.census.gov/qfd/states/49/4974810.html,Davis County,Utah,city,F,3.75,2.5,42,0.8,248000,F,0.9,6368,92.2,1839,97.9,S,24331,74810,1445,3.3,11.8,2.5,4.5,0,3.3,2542.4,0,S,F,92.5,141882,0.4,F,90.9,6534,5.8,6,6734,0.3,5.4,25163,25775,24901,1.9,33,27.3,88.9,85084,49.4,24369,5633,9.57
Hobbs ,http://quickfacts.census.gov/qfd/states/35/3532520.html,Lea County,New Mexico,city,F,2.91,13.3,29.8,6.1,97000,F,18.2,11190,73,2121,72.5,S,34122,32520,2176,19,9.6,2.7,10.1,0,2.4,1424.4,285071,24.4,F,66.6,628503,0.1,F,82.3,12900,5.6,53.7,21130,1.3,40.4,34956,36041,21234,0.6,16.2,16.8,38.3,47654,48.6,34133,69073,23.96
McAllen ,http://quickfacts.census.gov/qfd/states/48/4845384.html,Hidalgo County,Texas,city,S,3.11,29.6,30.1,0.9,107900,F,27.2,41631,83.9,4855,73.9,55.8,129877,45384,15161,26.7,8.1,1.8,10.9,605022,3.8,2686.5,1828801,28.8,3.7,60.9,3599144,Z,S,84.3,45862,4.9,84.6,28682,0.4,80,135242,136639,21123,2.6,27.1,19.6,11.7,40636,52.2,130242,357536,48.34
Portage ,http://quickfacts.census.gov/qfd/states/18/1861092.html,Porter County,Indiana,city,F,2.57,4,25.7,7.3,137700,F,20.8,14226,83.6,3014,88.3,S,36828,61092,1995,12.5,6.6,2.6,12.1,D,Z,1437,472444,30.2,S,71.8,454010,Z,S,86.8,14807,Z,16.4,12425,0.4,9.3,36827,36812,23892,0.9,15.6,27.4,74,51623,51.6,36828,53491,25.63
Cottonwood Heights ,http://quickfacts.census.gov/qfd/states/49/4916270.html,Salt Lake County,Utah,city,F,2.76,6.8,23,0.9,306100,F,26.1,12185,91.3,2014,96,S,33433,16270,4587,4.3,6.1,2.5,13.4,120071,1.8,3785.9,357425,17.6,1.4,73.1,1048537,0.3,0.6,86.3,13194,2.4,5.1,30131,0.4,9.4,34022,34238,36850,3.2,46.1,21.7,88.2,74539,50.2,33433,31738,8.83
Ardmore ,http://quickfacts.census.gov/qfd/states/40/4002600.html,Carter County,Oklahoma,city,5.9,2.61,4.6,25.4,10.2,92200,F,12.2,9077,68,1916,83.2,2.3,24283,2600,2936,19.1,7.6,7.3,15.6,D,1.6,486.8,522722,27.5,1.1,60.7,610122,Z,S,86.1,11026,2.7,7.4,25071,9.1,8.7,24683,24950,21442,1.8,20,14.9,65.6,38383,52.3,24283,60325,49.88
Brookville ,http://quickfacts.census.gov/qfd/states/39/3909358.html,Montgomery County,Ohio,city,F,2.27,1.1,23.3,0.4,116900,F,19.8,2604,97.6,487,89.7,F,5884,9358,562,8.2,5.9,0.7,22.2,D,-0.1,1539.5,D,S,F,74.3,68895,0,F,91.8,2684,-0.3,0.7,12784,0.1,1.9,5878,5868,25648,0.9,14.6,23.9,97.2,46768,53.8,5884,12635,3.82
Eastman ,http://quickfacts.census.gov/qfd/states/13/1325552.html,Dodge County,Georgia,city,F,2.12,5.4,24.6,36.5,83300,F,18.8,2294,58.8,429,76.2,F,4962,25552,816,21.3,7.3,0.9,16.2,0,-2.6,916.2,0,S,F,49.1,149936,0,S,81.8,2342,-3,4.7,27089,0.3,7.8,5445,5420,16370,1,12.3,21.5,57.2,25768,52.9,5590,0,5.42
Fort Madison ,http://quickfacts.census.gov/qfd/states/19/1928605.html,Lee County,Iowa,city,F,2.38,3,21,5.5,72200,F,17.1,4389,89.3,1131,88.7,F,11051,28605,761,15.6,5.8,2.5,15.7,1603487,-0.1,1164.2,D,S,F,68,175792,0.1,F,90.3,4956,-0.1,6.7,16004,0.4,3.2,11036,11043,21722,0.6,13.5,17.9,85.1,39621,47.2,11051,15517,9.49
Horsham ,http://quickfacts.census.gov/qfd/states/42/4235800.html,Montgomery County,Pennsylvania,CDP,F,2.5,8.1,21.7,4.7,265600,F,26,5829,86.5,814,94.3,F,14842,35800,F,5.2,5.4,1.6,13.1,0,X,2713.3,0,F,F,73.5,0,0.1,F,87.5,6159,X,3.5,NA,0.2,10.3,X,X,32196,5.8,36.5,25.8,84.4,64816,51.8,X,0,5.47
